Date,Open,High,Low,Close,Adj Close,Volume
2017-12-18,1011.9,1030.7,1005.8,1016.6,45.747,2017724
2017-12-19,1017.45,1017.95,999.55,1003.95,45.17775,3559449
2017-12-20,1005.1,1018.6,1001.0,1015.85,45.71325,2093163
2017-12-21,1014.8,1028.95,998.4,1022.05,45.99225,5529581
2017-12-22,1016.0,1044.8,1016.0,1039.35,46.77074999999999,6453470
2017-12-26,1030.0,1041.5,1023.0,1035.6,46.602,5404453
2017-12-27,1028.0,1039.1,1027.4,1034.25,46.54125,3485086
2017-12-28,1030.0,1040.0,1023.8,1033.25,46.496249999999996,4216736
2017-12-29,1030.1,1048.8,1030.0,1042.05,46.89225,3300884
2018-01-01,1037.7,1044.5,1030.0,1033.55,46.50975,2715670
2018-01-02,1037.25,1042.0,1023.0,1029.7,46.3365,3056124
2018-01-03,1028.5,1031.6,1018.6,1021.3,45.958499999999994,3423276
2018-01-04,1021.0,1021.0,1009.6,1015.4,45.693,4473807
2018-01-05,1015.3,1026.4,1006.0,1012.0,45.54,5512988
2018-01-08,1024.9,1039.0,1020.05,1036.05,46.622249999999994,2797345
2018-01-09,1040.0,1044.9,1028.9,1041.35,46.860749999999996,4974118
2018-01-10,1046.8,1056.0,1033.05,1052.25,47.35125,4734317
2018-01-11,1055.25,1083.4,1055.25,1075.8,48.410999999999994,8387735
2018-01-12,1085.8,1085.9,1070.55,1078.45,48.53025,9008264
2018-01-15,1080.0,1092.95,1065.1,1081.15,48.65175,5324625
2018-01-16,1081.25,1134.8,1081.25,1122.85,50.52824999999999,11323483
2018-01-17,1124.85,1161.8,1123.0,1152.1,51.8445,13077044
2018-01-18,1145.0,1164.9,1132.1,1152.7,51.8715,6602485
2018-01-19,1145.0,1147.9,1136.0,1143.45,51.45525,2994139
2018-01-22,1132.15,1156.95,1132.0,1150.0,51.75,4825107
2018-01-23,1155.0,1188.0,1155.0,1177.1,52.9695,7701898
2018-01-24,1174.8,1221.05,1167.5,1185.8,53.361,10302359
2018-01-25,1182.0,1183.4,1162.25,1175.4,52.893,6774457
2018-01-29,1166.55,1196.25,1165.2,1182.9,53.2305,5411501
2018-01-30,1178.9,1183.1,1162.7,1170.65,52.67925,4314156
2018-01-31,1159.15,1166.6,1142.15,1150.25,51.76125,4606849
2018-02-01,1142.2,1157.9,1118.55,1144.6,51.50699999999999,6502727
2018-02-02,1135.25,1162.9,1130.1,1143.25,51.44625,5122243
2018-02-05,1140.0,1154.85,1135.85,1138.2,51.219,4930110
2018-02-06,1099.95,1128.35,1095.15,1107.75,49.848749999999995,5276039
2018-02-07,1116.0,1124.8,1103.55,1109.05,49.90725,4171028
2018-02-08,1122.8,1146.4,1116.55,1134.25,51.04125,4403622
2018-02-09,1118.0,1120.3,1106.0,1109.15,49.911750000000005,2191345
2018-02-12,1114.8,1120.6,1097.8,1102.8,49.626,3145986
2018-02-14,1106.0,1117.3,1090.2,1097.75,49.39875,4172856
2018-02-15,1103.0,1129.7,1103.0,1114.45,50.15025,3993368
2018-02-16,1125.0,1141.65,1118.1,1128.05,50.762249999999995,4944611
2018-02-19,1128.4,1136.0,1120.3,1131.75,50.92875,3230920
2018-02-20,1103.75,1149.5,1103.75,1136.95,51.16275,3594297
2018-02-21,1147.5,1151.9,1140.0,1147.4,51.633,6885679
2018-02-22,1145.55,1164.0,1140.45,1160.75,52.23375,8929987
2018-02-23,1163.5,1166.0,1146.75,1155.65,52.00425,4729914
2018-02-26,1151.0,1155.05,1134.35,1138.6,51.236999999999995,2541804
2018-02-27,1144.95,1153.65,1125.65,1150.2,51.759,3308013
2018-02-28,1147.6,1189.5,1142.55,1172.6,52.766999999999996,8634208
2018-03-01,1169.6,1169.6,1156.05,1160.75,52.23375,3289926
2018-03-05,1160.75,1170.8,1143.25,1155.9,52.0155,4050728
2018-03-06,1162.55,1165.4,1143.6,1151.35,51.81074999999999,3344867
2018-03-07,1155.0,1160.0,1138.05,1144.1,51.4845,3185208
2018-03-08,1149.0,1165.8,1149.0,1156.65,52.04925,3046507
2018-03-09,1162.35,1166.0,1155.55,1163.4,52.353,2110482
2018-03-12,1176.0,1191.85,1171.75,1185.75,53.35875,3838485
2018-03-13,1180.2,1197.0,1175.15,1183.8,53.270999999999994,4290526
2018-03-14,1180.0,1190.6,1169.1,1180.8,53.135999999999996,2214855
2018-03-15,1180.0,1188.4,1172.0,1182.5,53.2125,3050750
2018-03-16,1182.0,1182.4,1169.25,1171.9,52.7355,8977413
2018-03-19,1164.0,1180.5,1142.65,1146.75,51.60375,3763310
2018-03-20,1148.6,1170.0,1148.6,1164.55,52.40474999999999,4276883
2018-03-21,1170.0,1175.5,1162.2,1167.5,52.5375,3846497
2018-03-22,1164.5,1177.45,1155.3,1161.3,52.2585,3406584
2018-03-23,1147.0,1173.8,1142.35,1167.6,52.541999999999994,6004042
2018-03-26,1166.9,1166.9,1144.0,1155.25,51.98625,4465361
2018-03-27,1160.0,1161.3,1150.1,1154.0,51.93,1901044
2018-03-28,1150.75,1150.75,1126.25,1131.8,50.931,6279161
2018-04-02,1141.0,1149.55,1121.3,1137.15,51.17175,4036351
2018-04-03,1134.7,1143.55,1128.1,1140.45,51.32025,2038584
2018-04-04,1144.0,1144.55,1120.0,1124.2,50.589,2406651
2018-04-05,1139.55,1151.3,1129.1,1147.55,51.63975,3881772
2018-04-06,1143.0,1146.0,1122.1,1127.0,50.714999999999996,2968871
